Kernel Interface table
Iface      MTU    RX-OK RX-ERR RX-DRP RX-OVR    TX-OK TX-ERR TX-DRP TX-OVR Flg
enp0s31f  1500   956119      0      0 0        115856      0      0      0 BMRU
lo       65536   664917      0      0 0        664917      0      0      0 LRU
s1-eth1   1500   524161      0      0 0        516686      0      0      0 BMRU
s1-eth2   1500   347850      0      0 0        341193      0      0      0 BMRU
s1-eth3   1500   355484      0      0 0        346570      0      0      0 BMRU
s1-eth4   1500   353777      0      0 0        348367      0      0      0 BMRU
s1-eth5   1500   321245      0      0 0        316323      0      0      0 BMRU
s1-eth6   1500   293398      0      0 0        286627      0      0      0 BMRU
s1-eth7   1500   292881      0      0 0        286790      0      0      0 BMRU
s1-eth8   1500   287909      0      0 0        279624      0      0      0 BMRU
s1-eth9   1500   294950      0      0 0        285980      0      0      0 BMRU
s1-eth10  1500   279426      0      0 0        271468      0      0      0 BMRU
s1-eth11  1500   288082      0      0 0        279616      0      0      0 BMRU
s1-eth12  1500   289589      0      0 0        282264      0      0      0 BMRU
s1-eth13  1500   273526      0      0 0        264100      0      0      0 BMRU
s1-eth14  1500   267865      0      0 0        260153      0      0      0 BMRU
s1-eth15  1500   269456      0      0 0        261450      0      0      0 BMRU
s1-eth16  1500   268959      0      0 0        261258      0      0      0 BMRU
s1-eth17  1500   272255      0      0 0        263370      0      0      0 BMRU
s1-eth18  1500   282812      0      0 0        277577      0      0      0 BMRU
s1-eth19  1500   278410      0      0 0        269246      0      0      0 BMRU
s1-eth20  1500   266275      0      0 0        259568      0      0      0 BMRU
s1-eth21  1500   270852      0      0 0        263108      0      0      0 BMRU
s1-eth22  1500   265547      0      0 0        259396      0      0      0 BMRU
s1-eth23  1500   298307      0      0 0        291553      0      0      0 BMRU
s1-eth24  1500   279364      0      0 0        270359      0      0      0 BMRU
s1-eth25  1500   274222      0      0 0        267197      0      0      0 BMRU
s1-eth26  1500   274432      0      0 0        267111      0      0      0 BMRU
s1-eth27  1500   268854      0      0 0        262783      0      0      0 BMRU
s1-eth28  1500   264757      0      0 0        257773      0      0      0 BMRU
s1-eth29  1500   262179      0      0 0        253478      0      0      0 BMRU
s1-eth30  1500   262005      0      0 0        254369      0      0      0 BMRU
s1-eth31  1500   263290      0      0 0        256867      0      0      0 BMRU
s1-eth32  1500   271430      0      0 0        260389      0      0      0 BMRU
s1-eth33  1500   269208      0      0 0        262938      0      0      0 BMRU
s1-eth34  1500   255446      0      0 0        246245      0      0      0 BMRU
s1-eth35  1500   274081      0      0 0        264191      0      0      0 BMRU
s1-eth36  1500   258415      0      0 0        250159      0      0      0 BMRU
s1-eth37  1500   263924      0      0 0        256816      0      0      0 BMRU
s1-eth38  1500   270403      0      0 0        260855      0      0      0 BMRU
s1-eth39  1500   262321      0      0 0        254624      0      0      0 BMRU
s1-eth40  1500   262800      0      0 0        255723      0      0      0 BMRU
s1-eth41  1500   274973      0      0 0        265839      0      0      0 BMRU
s1-eth42  1500   261393      0      0 0        253704      0      0      0 BMRU
s1-eth43  1500   261934      0      0 0        255059      0      0      0 BMRU
s1-eth44  1500   260372      0      0 0        252187      0      0      0 BMRU
s1-eth45  1500   263389      0      0 0        256025      0      0      0 BMRU
